VideoID,Title,Publish_Date,Publish_Time,Day_of_the_week,Hour_of_the_day,Views,Likes,Dislikes,Comments,Engagement Rate,
5QhkfcfZNjA,Google Analytics Introduction | Google Analytics | Google Analytics Tutorial for Beginners,30-11-2015,10:38:26,Monday,10.00,38661.00,301.00,0.00,38.00,30100.00%,
yXSzg2v9UhY,How to Add Location on Google Map | Google Business | SEO -Part 13,14-12-2015,14:25:10,Monday,14.00,32778.00,234.00,0.00,33.00,23400.00%,
KsvmOSvDcqQ,Off-Page SEO कैसे करें? | Learn Off Page SEO in 15 Minutes | SEO Tutorial,20-12-2015,13:50:41,Sunday,13.00,147225.00,1910.00,0.00,148.00,191000.00%,
64gSo8Ptlew,Google Page Rank | Page ranking | How to increase Page Rank | SEO -Part 15,26-12-2015,08:25:17,Saturday,8.00,35431.00,222.00,0.00,22.00,22200.00%,
Rmajomop8J8,What is web directory | Directory Submission | Off Page SEO | SEO Tutorial in Hindi,11-01-2016,10:38:26,Monday,10.00,107816.00,1145.00,0.00,152.00,114500.00%,
XTvH-RVcSQk,Introduction to Digital Marketing | Types of Digital Marketing | SEO Tutorial,24-01-2016,14:25:10,Sunday,14.00,27305.00,214.00,0.00,23.00,21400.00%,
T3l5AekDaKg,Inbound Marketing | Difference between Inbound and Outbound Marketing | SEO Tutorial,30-01-2016,13:50:41,Saturday,13.00,37458.00,402.00,0.00,47.00,40200.00%,
buf8RyUVbA0,What is SEO? SEO Introduction in English | SEO Tutorial | Step By Step SEO Tutorial,17-02-2016,08:25:17,Wednesday,8.00,27181.00,261.00,0.00,17.00,26100.00%,
bKwCD62J3p8,Link building | Building links | How to increase backlinks | SEO Tutorial,21-02-2016,10:38:26,Sunday,10.00,74331.00,878.00,0.00,156.00,87800.00%,
EjxzZSAXx5s,Content Marketing | What is content marketing | SEO Tutorial,25-02-2016,14:25:10,Thursday,14.00,36499.00,451.00,0.00,44.00,45100.00%,
k2Xd-Ml-1yQ,SEO Tools | Best SEO tools | How SEO tools work | SEO Tutorial,03-03-2016,13:50:41,Thursday,13.00,95679.00,1437.00,0.00,121.00,143700.00%,
BZ-EdqWnPGk,How to Increase Backlinks | Blog Commenting in SEO | SEO Tutorial,27-03-2016,08:25:17,Sunday,8.00,39217.00,390.00,0.00,113.00,39000.00%,
BDX-PFh1uoQ,Social Bookmarking | What is social bookmarking | Link building | SEO Tutorial,08-04-2016,10:38:26,Friday,10.00,98344.00,1318.00,0.00,156.00,131800.00%,
EJGHRXqExYU,SMO | Learn Social Media Optimization | SMO Tutorial for Beginners in Hindi,14-04-2016,14:25:10,Thursday,14.00,126850.00,1482.00,0.00,140.00,148200.00%,
S0Rp_7LJxLU,What is Online Reputation Management-ORM | ORM Tutorial | SEO Tutorial,25-04-2016,13:50:41,Monday,13.00,29542.00,361.00,0.00,26.00,36100.00%,
_k4eCU5fCDA,Sitemap | Dynamic sitemap | Ecommerce sitemap | SEO -Part 26,04-05-2016,08:25:17,Wednesday,8.00,23941.00,203.00,0.00,23.00,20300.00%,
2QthI9yWZnQ,Blog Post for Beginners | Blog writing | Article writing | SEO Tutorial,12-05-2016,10:38:26,Thursday,10.00,30002.00,440.00,0.00,27.00,44000.00%,
CNbzuuq-4HE,Top SEO tips | SEO tips |  SEO tips for beginners | SEO Tutorial,18-05-2016,14:25:10,Wednesday,14.00,14012.00,96.00,0.00,26.00,9600.00%,
LAlTdYluSp0,Search Engine Marketing (SEM) | Search Engine Marketing Basics | PPC - Part 29,24-05-2016,13:50:41,Tuesday,13.00,53997.00,778.00,0.00,63.00,77800.00%,
sdW6MM6bOsM,Yoast plugin | Yoast seo plugin | Yoast seo tutorial | SEO - Part 30,28-05-2016,08:25:17,Saturday,8.00,17386.00,154.00,0.00,58.00,15400.00%,
AwJTJJsApsw,Social Media Meta Tags | Facebook Meta Tags | SEO Tutorial,01-06-2016,10:38:26,Wednesday,10.00,35422.00,328.00,0.00,52.00,32800.00%,
iG1TVB3c87g,What is Email Marketing in SEO | Types of Email Marketing | SEO Tutorial,05-06-2016,14:25:10,Sunday,14.00,18401.00,153.00,0.00,22.00,15300.00%,
jsrM81lO2P4,Facebook Marketing | How to do Facebook marketing | Marketing on Facebook | SEO - Part 33,12-06-2016,13:50:41,Sunday,13.00,25606.00,226.00,0.00,18.00,22600.00%,
ZJYeFdBNVVw,How to promote Business through Facebook | Facebook Marketing | SEO - Part 34,18-06-2016,08:25:17,Saturday,8.00,30507.00,264.00,0.00,29.00,26400.00%,
JwUxFQp2uIk,How to Get Traffic from Facebook Groups | Facebook Groups | SEO - Part 35,30-07-2016,10:38:26,Saturday,10.00,15904.00,122.00,0.00,22.00,12200.00%,
JiHowVMTFBc,How to use Twitter for Business Marketing | Twitter Marketing | SMO,20-08-2016,14:25:10,Saturday,14.00,52233.00,551.00,0.00,28.00,55100.00%,
fYqyD8LrQ7E,How to use twitter analytics | Twitter Analytics | Tweet analytics | SMO - Part 37,17-09-2016,13:50:41,Saturday,13.00,10421.00,85.00,0.00,12.00,8500.00%,
S62GXaxRi0g,LinkedIn | How to use LinkedIn | LinkedIn tutorial | SMO - Part 38,05-10-2016,08:25:17,Wednesday,8.00,13653.00,105.00,0.00,7.00,10500.00%,
2uP88rAPZlg,LinkedIn Business Page | LinkedIn company page | Create LinkedIn company page | SMO - Part 39,22-10-2016,10:38:26,Saturday,10.00,17314.00,105.00,0.00,11.00,10500.00%,
iWJOqSTqP2M,How to use Tumblr | Tumblr | What is Tumblr | SMO Tutorial,04-11-2016,14:25:10,Friday,14.00,23744.00,233.00,0.00,25.00,23300.00%,
d5GqMeJLxMY,SEO Tutorial  for Beginners | SEO basics | SEO Tutorial Part-1,10-11-2016,13:50:41,Thursday,13.00,19700.00,184.00,0.00,5.00,18400.00%,
SBY7T__ttg0,Why do we need SEO? | Importance of SEO | SEO Tutorial Part-2,27-11-2016,08:25:17,Sunday,8.00,14575.00,145.00,0.00,3.00,14500.00%,
feNZvmp7JNk,Blogger / BlogSpot | Blog tutorial | Blogging for beginners | SEO - Part 41,15-12-2016,10:38:26,Thursday,10.00,14036.00,119.00,0.00,21.00,11900.00%,
hPIXkm1fciA,Google Plus | Google plus for business | Google plus business page | SMO - Part 42,13-01-2017,14:25:10,Friday,14.00,9895.00,75.00,0.00,10.00,7500.00%,
LBMTLCbBNPc,Woorank | Site Audit Tool | SEO Checker | SEO Audit tools | SEO - Part 43,18-01-2017,13:50:41,Wednesday,13.00,11527.00,93.00,0.00,18.00,9300.00%,
nFL-fOM70VQ,SEO Site Checkup | SEO Audit tools | free SEO analysis | SEO - Part 44,31-01-2017,08:25:17,Tuesday,8.00,11967.00,107.00,0.00,10.00,10700.00%,
arJnU0aA-yk,SEO Quake | SEO Quake toolbar | how to use seo quake | SEO - Part 45,06-02-2017,10:38:26,Monday,10.00,13593.00,108.00,0.00,14.00,10800.00%,
enEbFkdCRGk,Grammarly | Grammar Checker | writing tool | SEO Free Tools |  SEO - Part - 46,24-02-2017,14:25:10,Friday,14.00,9202.00,77.00,0.00,6.00,7700.00%,
v6MYSAaL9Rs,Similar Web | Web traffic estimator | Similar web plugin | SEO - Part 47,02-03-2017,13:50:41,Thursday,13.00,17847.00,234.00,0.00,12.00,23400.00%,
ouxyVaX3ncY,Siteliner | Website Duplicate Content Checker Tool | SEO tools - Part 48,10-03-2017,08:25:17,Friday,8.00,19212.00,227.00,0.00,26.00,22700.00%,
l_l2UiediV0,Alexa Rank | what is alexa rank | Alexa rank checker | SEO - Part 49,23-03-2017,10:38:26,Thursday,10.00,17526.00,167.00,0.00,21.00,16700.00%,
zt_ggHfLvCA,Pdf Submission | Benefits of pdf submission | SEO - Part 50,30-03-2017,14:25:10,Thursday,14.00,17324.00,186.00,0.00,34.00,18600.00%,
X9FLrG1Yw2s,Forum Posting | SEO forum posting tutorial | SEO Tutorial,11-04-2017,13:50:41,Tuesday,13.00,52784.00,549.00,0.00,48.00,54900.00%,
x183G8BwTsw,Pinterest | How to post on Pinterest | SEO - Part 52,14-04-2017,08:25:17,Friday,8.00,10659.00,97.00,0.00,24.00,9700.00%,
NkeH5vYjDYg,Look and feel analysis | Features of a good website | SEO - Part 53,17-04-2017,10:38:26,Monday,10.00,5616.00,32.00,0.00,9.00,3200.00%,
caEmUGInv38,What is Quora |  How to use Quora - Quora Tutorials for Beginners in Hindi,03-05-2017,14:25:10,Wednesday,14.00,151978.00,1550.00,0.00,137.00,155000.00%,
A3N9njV_280,what is RSS feed?  | RSS feed tutorial | RSS feed | RSS feed tutorial,10-05-2017,13:50:41,Wednesday,13.00,14945.00,138.00,0.00,23.00,13800.00%,
Yh_NiiqpvCg,How to subscribe RSS feed | RSS feed subscription | RSS feed reader,22-05-2017,08:25:17,Monday,8.00,9328.00,57.00,0.00,13.00,5700.00%,
pmR5vsIa5ec,What is DO-Follow and No-Follow links | Difference between Do-Follow and No-Follow,26-05-2017,10:38:26,Friday,10.00,25632.00,565.00,0.00,72.00,56500.00%,
ej04sqsUGxg,How to create a Facebook Page | Facebook Page for Business | SMO,20-06-2017,14:25:10,Tuesday,14.00,6354.00,61.00,0.00,8.00,6100.00%,
pPKz_XrX6Ds,Short tail and Long tail Keywords | How to rank on Google | SEO keyword research tutorial,23-06-2017,13:50:41,Friday,13.00,8518.00,124.00,0.00,10.00,12400.00%,
3NiKhIqDRSw,How to Submit Website to Search Engines | Submit Site to all Search Engine| SEO Tutorials,28-06-2017,08:25:17,Wednesday,8.00,41276.00,679.00,0.00,32.00,67900.00%,
97BtUhRDoSo,Google Search Engine Algorithms | How does Google search Works | Search Engine Algorithms,30-06-2017,10:38:26,Friday,10.00,7341.00,59.00,0.00,14.00,5900.00%,
0aI7aFRYyOQ,How to use Twitter Analytics| What is Twitter Analytics| Twitter analytics Tutorial,04-07-2017,14:25:10,Tuesday,14.00,8941.00,75.00,0.00,8.00,7500.00%,
Kk0HDsw544I,How to get traffic on your social media post | Increase social media traffic | Social media traffic,07-07-2017,13:50:41,Friday,13.00,10974.00,131.00,0.00,17.00,13100.00%,
ULl0iHjJ9VE,Basic of Manual Testing | Software Development Life Cycle | Manual Testing Tutorial - Step 2,08-07-2017,08:25:17,Saturday,8.00,18113.00,196.00,0.00,13.00,19600.00%,
9gcYA6xNJf8,What is Testing | Software Testing Tutorials for Beginners | Manual Testing Tutorial - Step 1,09-07-2017,10:38:26,Sunday,10.00,48818.00,542.00,0.00,14.00,54200.00%,
UOorm_ap2iA,Manual testing Strategy | Role of software tester | What is V Model | Testing Tutorial - Step 3,11-07-2017,14:25:10,Tuesday,14.00,11433.00,117.00,0.00,4.00,11700.00%,
LnAIKcjjSvg,Process of Manual Testing | STLC Phase | How to Write test Plan | Manual Testing Tutorial - Step 4,13-07-2017,13:50:41,Thursday,13.00,10338.00,102.00,0.00,3.00,10200.00%,
3w_BHjBql6w,How to go Live on Instagram | Live Instagram | Instagram live stream | Instagram tutorial,14-07-2017,08:25:17,Friday,8.00,8583.00,42.00,0.00,5.00,4200.00%,
FFmgZyelhqg,What is Testing Strategies | Functional Testing | Manual Testing Tutorial - Step 5,15-07-2017,10:38:26,Saturday,10.00,8577.00,84.00,0.00,8.00,8400.00%,
hi50eEprFwg,Test Execution Process | Retesting and Regression testing | Manual Testing Tutorial - Step 6,20-07-2017,14:25:10,Thursday,14.00,9982.00,112.00,0.00,6.00,11200.00%,
tnsHQQCZHQM,Defect Lifecycle | Defect Attribute | Defect Tracking in Manual Testing - Step 7,26-07-2017,13:50:41,Wednesday,13.00,5587.00,49.00,0.00,5.00,4900.00%,
5dBZspcAW_g,Types of Testing | Performance Testing | Usability Testing| UI Testing | Testing Tutorial - Step 8,01-08-2017,08:25:17,Tuesday,8.00,5855.00,64.00,0.00,2.00,6400.00%,
bN3TqOu0iEg,Quality Process Tutorials | Quality Assurance & Improvement Process | Manual Testing - Step 9,12-08-2017,10:38:26,Saturday,10.00,9007.00,76.00,0.00,1.00,7600.00%,
mF-FBhTN4JI,PPC and CPC in Digital Marketing | Introduction to PPC & CPC | Digital Marketing,19-08-2017,14:25:10,Saturday,14.00,52028.00,827.00,0.00,37.00,82700.00%,
FZRzd0esaok,What is Keywords | Keywords in SEO | Keywords in various terms,21-08-2017,13:50:41,Monday,13.00,5436.00,47.00,0.00,7.00,4700.00%,
l8XAXE_AhD4,Important Terminology of SEO | SEO terms and definition | SEO terms,24-08-2017,08:25:17,Thursday,8.00,10079.00,141.00,0.00,13.00,14100.00%,
sHrS_YZ5ITI,Important Terminology of SEM | SEM terms and definition | SEM terms,06-09-2017,10:38:26,Wednesday,10.00,4559.00,35.00,0.00,4.00,3500.00%,
vsqRroWHn7M,What is Android | Introduction to Android | Android Tutorial for Beginners,08-09-2017,14:25:10,Friday,14.00,4478.00,68.00,0.00,13.00,6800.00%,
MKmF-JGVyqo,How to submit Website to Bing Webmaster | Submit Site to Bing,12-09-2017,13:50:41,Tuesday,13.00,15717.00,129.00,0.00,18.00,12900.00%,
RO3VlukgvNI,How to Select Targeted Keywords from lots of Keywords | Find Your Top Traffic-Driving Keywords,23-09-2017,08:25:17,Saturday,8.00,5252.00,58.00,0.00,7.00,5800.00%,
M2pEiWypB0Q,How to check website is Blacklisted | Is your website is Blacklisted by Google,27-09-2017,10:38:26,Wednesday,10.00,12466.00,120.00,0.00,14.00,12000.00%,
XP92kvyVzLo,How to use Bing Webmaster | Guide to Bing Webmaster | Bing Webmaster,29-09-2017,14:25:10,Friday,14.00,9021.00,102.00,0.00,18.00,10200.00%,
XHGZ8sTgZak,Introduction to SEM & Google AdWords | What is SEM | What is Adwords,03-10-2017,13:50:41,Tuesday,13.00,13215.00,109.00,0.00,14.00,10900.00%,
_-WjCN0gc6I,Mobile Application Testing | Testing Tutorials | Test case Format | Manual Testing Tutorial,06-10-2017,08:25:17,Friday,8.00,12800.00,146.00,0.00,8.00,14600.00%,
jrSMw0F-5hY,Severity and Priority in Software Testing | Manual Testing Tutorial,16-10-2017,10:38:26,Monday,10.00,19541.00,280.00,0.00,11.00,28000.00%,
a-dWyI3Kezg,LIVE PROOF 🔴: How to Write Test Cases in Manual Testing with Example - Complete Tutorial,24-10-2017,14:25:10,Tuesday,14.00,346821.00,5537.00,0.00,96.00,553700.00%,
6QVE5TuyU9I,"Schedule Twitter, Facebook, Instagram Post | Buffer Tool | Buffer for Social Media",27-10-2017,13:50:41,Friday,13.00,9744.00,112.00,0.00,20.00,11200.00%,
zg0_0AGSBLU,Keyword Density Checker Tool Online | Keyword Density Analyzer,01-11-2017,08:25:17,Wednesday,8.00,6727.00,93.00,0.00,16.00,9300.00%,
4Gi2fOWAg3w,How to Rank Higher in Google Maps | Google Places for business,04-11-2017,10:38:26,Saturday,10.00,5028.00,44.00,0.00,6.00,4400.00%,
YZ7C0RnkA5M,Hashtagify | Finding Hashtags | How to find top hashtags on twitter,07-11-2017,14:25:10,Tuesday,14.00,7863.00,91.00,0.00,5.00,9100.00%,
YZpmJ8rp6yM,Tweetdeck | Twitter Analysis Tool | How to use Tweetdeck,11-11-2017,13:50:41,Saturday,13.00,5581.00,26.00,0.00,8.00,2600.00%,
oFv6yhcxhwc,How to Schedule Post on Facebook | Scheduling Facebook Posts,18-11-2017,08:25:17,Saturday,8.00,5816.00,36.00,0.00,4.00,3600.00%,
jtyI72XCwpY,Create Facebook Groups | How To Create A Group On Facebook,21-11-2017,10:38:26,Tuesday,10.00,2967.00,28.00,0.00,4.00,2800.00%,
WEieSUVEZcU,How To Create Instagram Account | Instagram Account Kaise Banaye | Instagram Tutorial,24-11-2017,14:25:10,Friday,14.00,225505.00,1502.00,0.00,27.00,150200.00%,
_4wslpbVJzM,Pinterest Account Creation | How to use Pinterest for Business,28-11-2017,13:50:41,Tuesday,13.00,45444.00,739.00,0.00,48.00,73900.00%,
hxjBpSA0mjk,Instagram post | How to post multiple photos on Instagram,01-12-2017,08:25:17,Friday,8.00,91758.00,1291.00,0.00,36.00,129100.00%,
HsxJKhXha-s,Social Media Management Tools | Social Media Monitoring Tool,12-12-2017,10:38:26,Tuesday,10.00,14121.00,148.00,0.00,24.00,14800.00%,
bPTdUOBHVHM,Top 51 Manual Testing Interview Questions with Answer  | Manual Testing Tutorial,24-01-2018,14:25:10,Wednesday,14.00,94295.00,1640.00,0.00,61.00,164000.00%,
br46OhTy6RM,Career in Software Testing | Software Testing field | Manual Testing Tutorial,30-01-2018,13:50:41,Tuesday,13.00,52970.00,930.00,0.00,76.00,93000.00%,
vdqfXzXbvlc,Basic of Automation Testing | Types of tools | Automation Testing Tutorial,06-02-2018,08:25:17,Tuesday,8.00,36195.00,520.00,0.00,13.00,52000.00%,
iVRu12H0KyI,What is Selenium IDE | Learn selenium in 30mins | Automation Testing Tutorial,21-02-2018,10:38:26,Wednesday,10.00,7975.00,100.00,0.00,6.00,10000.00%,
yP5a7S_KT5s,Types of Ad Campaigns in AdWords | Shopping and Video ads | Universal App Campaign,28-03-2018,14:25:10,Wednesday,14.00,20449.00,351.00,0.00,49.00,35100.00%,
vEroHl4cI-8,Google New Search Console | Google Webmaster | learn Google webmaster tools,31-03-2018,13:50:41,Saturday,13.00,18221.00,235.00,0.00,26.00,23500.00%,
lu0A-GybZ90,Google Rich Snippets tutorial | Rich snippets meaning | Rich snippets SEO tool,03-04-2018,08:25:17,Tuesday,8.00,42008.00,538.00,0.00,30.00,53800.00%,
pH_PJ_ucwIg,Article Writing Tips | SEO Article Writing Tutorial - Part 1,06-04-2018,10:38:26,Friday,10.00,17487.00,353.00,0.00,15.00,35300.00%,
_atbIaGA9vs,Top SEO Tips | SEO Tutorial | Learn Digital Marketing in Hindi,10-04-2018,14:25:10,Tuesday,14.00,11028.00,194.00,0.00,22.00,19400.00%,
LM7OkCL1lMY,Local and Classified Listing in SEO | Classified Advertisement | Classified Ads Submission,11-04-2018,13:50:41,Wednesday,13.00,28678.00,479.00,0.00,33.00,47900.00%,
dN4pj1YGqEc,How to do Article Submission in SEO | Article Submission Tutorial | Article Submission in SEO,19-04-2018,08:25:17,Thursday,8.00,37585.00,620.00,0.00,38.00,62000.00%,
b3_BbBxVs7Q,What is Keyword Planner| Google Keyword Planner  | SEO Tutorials,20-04-2018,10:38:26,Friday,10.00,11634.00,176.00,0.00,25.00,17600.00%,
w5PIxOzsDLA,Page Speed Checker Tool free | Page Speed Optimization | Page Speed,21-04-2018,14:25:10,Saturday,14.00,9786.00,134.00,0.00,16.00,13400.00%,
qbIGwcsBt2Y,Backlink Checker Tool | Google Backlink Checker Online Free,03-06-2018,13:50:41,Sunday,13.00,30527.00,332.00,0.00,11.00,33200.00%,
c6aw8-vUSZQ,Keyword Research Tool | Keyword Tool Dominator | YouTube keyword research tool,05-06-2018,08:25:17,Tuesday,8.00,9839.00,147.00,0.00,14.00,14700.00%,
dop5rIR9KW4,Google Trends Tutorial | Google Trends tutorial | How to use google trends for SEO,07-06-2018,10:38:26,Thursday,10.00,18716.00,345.00,0.00,35.00,34500.00%,
Jk6ZP7iM-dg,Small SEO Tools | SEO tools for website | SEO checker tools free,09-06-2018,14:25:10,Saturday,14.00,23591.00,336.00,0.00,20.00,33600.00%,
372DqUtJnrw,Introduction to Automation | Types & Application of Automation | PLC - SCADA PART 2,10-06-2018,13:50:41,Sunday,13.00,64724.00,729.00,0.00,36.00,72900.00%,
8wuuaiQ0Ohc,Introduction to PLC | Basics & Example of PLC  | PLC - SCADA PART 1,13-06-2018,08:25:17,Wednesday,8.00,40631.00,348.00,0.00,21.00,34800.00%,
AvvhYFuQ7pA,PLC to PC Communication with Ethernet | Profinet Protocol  | PLC - SCADA PART 3,30-06-2018,10:38:26,Saturday,10.00,51809.00,404.00,0.00,26.00,40400.00%,
LkEMKyWBBGU,PLC Panel Demo & Designing | PLC control panel components | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,17-07-2018,14:25:10,Tuesday,14.00,10024.00,71.00,0.00,5.00,7100.00%,
JPy5uTjqiok,What is canonicalization issue | canonical tag SEO,21-07-2018,13:50:41,Saturday,13.00,21894.00,381.00,0.00,35.00,38100.00%,
fJh0oGNRtV8,How to create Google plus brand page | Google plus Brand Page,24-07-2018,08:25:17,Tuesday,8.00,8016.00,109.00,0.00,10.00,10900.00%,
q50Ele2gomU,what is press release in SEO | press release Submission,26-07-2018,10:38:26,Thursday,10.00,23808.00,380.00,0.00,19.00,38000.00%,
42Izui-PMo0,How to Improve your Mobile website speed Time | Google Test My Site,28-07-2018,14:25:10,Saturday,14.00,8104.00,93.00,0.00,12.00,9300.00%,
4URZ4ff2_do,Introduction to Copyscape Plagiarism Checker | How to use Copyscape,31-07-2018,13:50:41,Tuesday,13.00,16865.00,172.00,0.00,9.00,17200.00%,
RQq6XeeAmQI,Fundamental of ladder logic | Electrical ladder Diagram | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,10-08-2018,08:25:17,Friday,8.00,11826.00,92.00,0.00,7.00,9200.00%,
fhTdcHnd3tA,Basic Logic Gates | PLC ladder diagram example | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,16-08-2018,10:38:26,Thursday,10.00,9433.00,99.00,0.00,7.00,9900.00%,
6oiQGshTCuM,Motor start:stop logic with ladder logic | PLC Programming | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,17-08-2018,14:25:10,Friday,14.00,12832.00,123.00,0.00,5.00,12300.00%,
XGXLpVJqjQY,Stair Case Logic | Stairs BULB On:Off | PLC programming | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,18-08-2018,13:50:41,Saturday,13.00,13197.00,99.00,0.00,10.00,9900.00%,
gpcKdvDWI2E,Detecting the Standing Position of Bottle | PLC Ladder | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,20-08-2018,08:25:17,Monday,8.00,6082.00,64.00,0.00,3.00,6400.00%,
FrLlIGuMpi8,Basics of PLC timers | Types of PLC timer | PLC programming | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,21-08-2018,10:38:26,Tuesday,10.00,14095.00,190.00,0.00,13.00,19000.00%,
1aARYh6Z6-Q,Timer On and Off Delays Example | PLC Programming Examples | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,22-08-2018,14:25:10,Wednesday,14.00,8958.00,45.00,0.00,2.00,4500.00%,
yS3xaa3_9GU,PLC ladder logic programming eg | Timer ON/OFF delay eg | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,23-08-2018,13:50:41,Thursday,13.00,49410.00,412.00,0.00,16.00,41200.00%,
sdj4DewndGg,Introduction to Retentive Timer RTO | RSlogix ladder logic | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,28-08-2018,08:25:17,Tuesday,8.00,13118.00,244.00,0.00,13.00,24400.00%,
AVvsaSNgTpA,Controlling Water Level in the PLC Ladder Logic | Timer eg | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,31-08-2018,10:38:26,Friday,10.00,10885.00,123.00,0.00,10.00,12300.00%,
XXZ2eiBIQLI,What is NO or NC Switches in PLC | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,01-09-2018,14:25:10,Saturday,14.00,13219.00,164.00,0.00,9.00,16400.00%,
4SE7FMTeWtQ,Paint factory example with RSLogix 500 | Timer example | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,04-09-2018,13:50:41,Tuesday,13.00,2700.00,28.00,0.00,3.00,2800.00%,
h_lixqxizQk,Sequential delay example using timer | PLC ladder logic | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,05-09-2018,08:25:17,Wednesday,8.00,10096.00,70.00,0.00,9.00,7000.00%,
sbcLS1n1MtY,Automatic door System using Timer in PLC | PLC ladder | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,08-09-2018,10:38:26,Saturday,10.00,15482.00,197.00,0.00,15.00,19700.00%,
xLh-UKOPF9k,Fishpond Water Level Monitoring System using Timer | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,09-09-2018,14:25:10,Sunday,14.00,2952.00,32.00,0.00,5.00,3200.00%,
zja8PS8-WpE,Traffic light Control example using timer in PLC | PLC PROGRAMMING TUTORIAL FOR BEGINNERS,22-09-2018,13:50:41,Saturday,13.00,62113.00,450.00,0.00,27.00,45000.00%,
Swuaweaxwy0,Sum of Factors | गुणनखंड का योग | By Poojan Sir | Factors | Basic Maths for all exams | गणित,12-10-2018,08:25:17,Friday,8.00,27164.00,364.00,0.00,19.00,36400.00%,
7p_rO_1WVH8,#1 Introduction to Python Programming - Python Tutorial for Beginners,17-10-2018,10:38:26,Wednesday,10.00,24893.00,386.00,0.00,12.00,38600.00%,
y_jYj7C7BV4,Google Webmaster | Google Webmaster for Beginners | learn Google Search Console,22-10-2018,14:25:10,Monday,14.00,10252.00,123.00,0.00,13.00,12300.00%,
JH8uVgAZtIA,#3 Python Data Types - Python Tutorial for Beginners,05-11-2018,13:50:41,Monday,13.00,6462.00,113.00,0.00,3.00,11300.00%,
jYu0rwI1xRI,#4 Python if-else Statement - Python Tutorial for Beginners,12-11-2018,08:25:17,Monday,8.00,4824.00,62.00,0.00,2.00,6200.00%,
0x4JhS1YpzI,What is MATLAB? & How It Works | MATLAB Features & Types | MATLAB Tutorial for Beginners,13-11-2018,10:38:26,Tuesday,10.00,548697.00,6545.00,0.00,23.00,654500.00%,
i4I4lfH9Bnk,Variables & Matrix in MATLAB | MATLAB Tutorial for Beginners in Hindi,15-11-2018,14:25:10,Thursday,14.00,190914.00,2862.00,0.00,13.00,286200.00%,
lLJ-zF8kKlY,An Introduction to MATLAB: Basic Operations | MATLAB for Beginners in Hindi,17-11-2018,13:50:41,Saturday,13.00,118432.00,1959.00,0.00,17.00,195900.00%,
